#EEP,M/Mo  L,ogTeff,LogG  L,ogL/Lo,F435W,F475W,F555W,F606W,F625W,F775W,F814W,F850L
64,0.590854,3.7213,4.7077,-0.6597,7.4063,7.1256,6.712,6.4894,6.271,5.8473,5.7851,5.6047
65,0.595587,3.7242,4.7025,-0.6392,7.3347,7.0607,6.6535,6.4343,6.2184,5.8,5.7386,5.5609
66,0.600126,3.727,4.6971,-0.6195,7.2674,6.9993,6.5982,6.3819,6.1683,5.7546,5.6941,5.5187
67,0.604452,3.7297,4.6921,-0.6005,7.2023,6.9399,6.5446,6.3313,6.1199,5.711,5.6512,5.4781
68,0.608581,3.7322,4.6869,-0.5823,7.141,6.884,6.4939,6.2832,6.0739,5.6692,5.6102,5.439
69,0.612536,3.7348,4.682,-0.5645,7.0813,6.8293,6.4445,6.2365,6.0293,5.6288,5.5705,5.4013
70,0.616329,3.7371,4.677,-0.5474,7.0248,6.7775,6.3975,6.1918,5.9865,5.5899,5.5323,5.3651
71,0.619986,3.7395,4.6722,-0.5307,6.9692,6.7265,6.3513,6.1481,5.9447,5.5521,5.4951,5.3297
72,0.623536,3.7416,4.6672,-0.5144,6.9162,6.6777,6.307,6.106,5.9043,5.5154,5.459,5.2954
73,0.626993,3.7439,4.6625,-0.4984,6.8637,6.6294,6.2631,6.0643,5.8646,5.4793,5.4235,5.2617
74,0.630383,3.7459,4.6574,-0.4826,6.8129,6.5827,6.2204,6.0237,5.8257,5.4439,5.3888,5.2285
75,0.633733,3.7481,4.6526,-0.467,6.7627,6.5363,6.1781,5.9836,5.7872,5.4089,5.3543,5.1956
76,0.637066,3.7501,4.6475,-0.4516,6.7131,6.4903,6.1361,5.9437,5.749,5.3742,5.3202,5.1631
77,0.640401,3.7521,4.6425,-0.436,6.6635,6.4445,6.0943,5.904,5.711,5.3396,5.2862,5.1308
78,0.64376,3.7542,4.6373,-0.4205,6.6141,6.3986,6.0524,5.8642,5.673,5.3051,5.2522,5.0984
79,0.647167,3.7562,4.6321,-0.4049,6.5644,6.3526,6.0104,5.8243,5.6348,5.2704,5.2181,5.066
80,0.650632,3.7582,4.6267,-0.389,6.5146,6.3062,5.9679,5.784,5.5963,5.2354,5.1837,5.0332
81,0.654217,3.7603,4.6211,-0.3729,6.4639,6.259,5.9247,5.7429,5.5569,5.1996,5.1485,4.9995
82,0.659654,3.7633,4.6124,-0.3485,6.3887,6.1887,5.86,5.6813,5.4977,5.1455,5.0952,4.9486
83,0.665301,3.7664,4.6034,-0.3233,6.3119,6.1168,5.7936,5.6178,5.4368,5.0895,5.04,4.8958
84,0.671062,3.7695,4.594,-0.2978,6.2347,6.0443,5.7264,5.5535,5.3749,5.0325,4.9837,4.8418
85,0.676827,3.7726,4.5844,-0.2722,6.1579,5.972,5.6593,5.4892,5.3129,4.9753,4.9273,4.7877
86,0.6825,3.7755,4.5747,-0.2469,6.0823,5.9007,5.593,5.4257,5.2518,4.9189,4.8716,4.7342
87,0.68798,3.7785,4.565,-0.2221,6.0088,5.8313,5.5285,5.3638,5.1922,4.8638,4.8173,4.682
88,0.693172,3.7813,4.5556,-0.1982,5.9377,5.7642,5.4659,5.3039,5.1345,4.8106,4.7647,4.6315
89,0.697986,3.7839,4.5461,-0.1753,5.8706,5.7007,5.4067,5.247,5.0796,4.7598,4.7146,4.5833
