#NUM,BER OF AGE,S= 1,,,,,,,,,,
#---,----------,--------,--------,--------,--------,-------,,,,,,
#MIX,#NAME?,Z,Ze,ff,[Fe/H],[a/Fe],,,,,,
# 1.,9380  0.24,53 2.046,1E-04 1.,4.90E-01,-2.1,0.2,,,,,,
#---,----------,--------,--------,--------,--------,-------,,,,,,
#**P,HOTOMETRIC,SYSTEM*,*: HST A,CS-WFC (,PHOENIX),,,,,,,
#---,----------,--------,--------,--------,--------,-------,,,,,,
#AGE,=12.500 EE,PS=266,,,,,,,,,,
#EEP,M/Mo  L,ogTeff,LogG  L,ogL/Lo,F435W,F475W,F555W,F606W,F625W,F775W,F814W,F850L
60,0.563048,3.7047,4.7336,-0.7729,7.8121,7.4928,7.0423,6.8002,6.5671,6.1134,6.046,5.8509
61,0.567997,3.7079,4.7285,-0.7514,7.734,7.4222,6.9787,6.7405,6.5102,6.0622,5.9959,5.8036
62,0.572955,3.7109,4.7234,-0.73,7.6567,7.3523,6.9158,6.6812,6.4537,6.0114,5.946,5.7565
63,0.577903,3.7141,4.7181,-0.7085,7.5799,7.2827,6.8532,6.6222,6.3976,5.9609,5.8964,5.7096
64,0.582816,3.7171,4.7126,-0.6873,7.5048,7.2146,6.7918,6.5644,6.3423,5.9111,5.8477,5.6635
65,0.587656,3.7202,4.7074,-0.6662,7.4304,7.1472,6.7312,6.5073,6.2879,5.8622,5.7996,5.6182
66,0.592366,3.7231,4.7019,-0.6458,7.3593,7.0825,6.6729,6.4522,6.2353,5.8148,5.7531,5.5743
67,0.596913,3.7259,4.6967,-0.6258,7.29,7.0196,6.6161,6.3988,6.1842,5.7688,5.7079,5.5316
68,0.601257,3.7286,4.6913,-0.6067,7.225,6.9604,6.5626,6.348,6.1357,5.7248,5.6647,5.4906
69,0.605391,3.7312,4.6863,-0.5882,7.1621,6.9029,6.5107,6.2989,6.0888,5.6824,5.6231,5.451
70,0.609329,3.7336,4.6811,-0.5705,7.1031,6.8488,6.4617,6.2524,6.0443,5.6419,5.5833,5.4132
71,0.613093,3.7361,4.6763,-0.5532,7.0452,6.7959,6.4138,6.2071,6.001,5.6027,5.5448,5.3767
72,0.616707,3.7383,4.6712,-0.5366,6.9908,6.7459,6.3683,6.1639,5.9595,5.565,5.5077,5.3414
73,0.620189,3.7406,4.6665,-0.5203,6.9369,6.6965,6.3235,6.1214,5.9189,5.5282,5.4716,5.3071
74,0.623561,3.7427,4.6615,-0.5045,6.8856,6.6492,6.2805,6.0806,5.8798,5.4926,5.4365,5.2737
75,0.626848,3.7448,4.6566,-0.489,6.8352,6.6027,6.2382,6.0404,5.8413,5.4576,5.4021,5.2409
76,0.630075,3.7468,4.6518,-0.4737,6.7857,6.557,6.1965,6.0007,5.8034,5.423,5.3681,5.2086
77,0.633261,3.7489,4.6468,-0.4585,6.7372,6.5121,6.1555,5.9618,5.766,5.389,5.3347,5.1767
78,0.636426,3.7508,4.6419,-0.4434,6.6888,6.4674,6.1147,5.923,5.7289,5.3553,5.3015,5.145
79,0.639593,3.7527,4.6368,-0.4284,6.641,6.4231,6.0741,5.8845,5.692,5.3217,5.2685,5.1136
80,0.64277,3.7547,4.6316,-0.4133,6.593,6.3787,6.0335,5.846,5.6552,5.2883,5.2355,5.0822
81,0.645988,3.7567,4.6264,-0.3981,6.5451,6.3341,5.9928,5.8073,5.6182,5.2546,5.2025,5.0508
82,0.650841,3.7595,4.6184,-0.3754,6.474,6.2679,5.9321,5.7497,5.563,5.2044,5.1531,5.0036
83,0.656019,3.7625,4.6099,-0.3515,6.3999,6.1988,5.8686,5.6891,5.505,5.1514,5.1009,4.9536
84,0.661467,3.7655,4.6007,-0.3266,6.3238,6.1274,5.8028,5.6262,5.4446,5.0959,5.0462,4.9013
85,0.667081,3.7686,4.5912,-0.3011,6.2466,6.055,5.7356,5.562,5.3826,5.0389,4.9899,4.8474
86,0.672762,3.7717,4.5813,-0.2753,6.1693,5.9822,5.668,5.4972,5.3202,4.9812,4.933,4.7927
87,0.67841,3.7747,4.5712,-0.2497,6.0926,5.9098,5.6007,5.4327,5.258,4.9238,4.8763,4.7383
88,0.683929,3.7777,4.5612,-0.2242,6.0171,5.8386,5.5344,5.3691,5.1968,4.8672,4.8204,4.6846
89,0.689224,3.7804,4.5511,-0.1996,5.9445,5.7699,5.4703,5.3076,5.1375,4.8123,4.7663,4.6324
90,0.694211,3.7831,4.5411,-0.1758,5.8744,5.7035,5.4083,5.248,5.0801,4.7592,4.7138,4.5819
91,0.698812,3.7857,4.5314,-0.1529,5.8072,5.6398,5.3488,5.1908,5.025,4.7081,4.6633,4.5333
92,0.703045,3.788,4.5216,-0.131,5.7438,5.5796,5.2923,5.1365,4.9725,4.6593,4.6151,4.4869
93,0.706969,3.7903,4.5119,-0.1098,5.6821,5.5208,5.2373,5.0835,4.9213,4.6117,4.5681,4.4415
94,0.710621,3.7925,4.5021,-0.0891,5.6226,5.464,5.1839,5.032,4.8715,4.5653,4.5222,4.3971
95,0.714034,3.7946,4.4921,-0.0688,5.5643,5.4083,5.1315,4.9813,4.8224,4.5194,4.4769,4.3533
96,0.717247,3.7966,4.4821,-0.0486,5.5066,5.3531,5.0795,4.9312,4.7738,4.474,4.432,4.3098
97,0.720291,3.7985,4.4716,-0.0289,5.4501,5.2992,5.0286,4.8821,4.7263,4.4296,4.388,4.2671
98,0.723199,3.8004,4.461,-0.0089,5.3932,5.2448,4.9775,4.8329,4.6786,4.3851,4.3439,4.2244
99,0.725982,3.8022,4.4499,0.0108,5.337,5.1912,4.927,4.7842,4.6316,4.3411,4.3004,4.1822
100,0.728672,3.8039,4.4387,0.0308,5.2803,5.1368,4.8759,4.7349,4.5839,4.2965,4.2562,4.1392
101,0.731309,3.8056,4.4269,0.0508,5.2239,5.0827,4.8247,4.6853,4.5358,4.2513,4.2114,4.0956
102,0.733912,3.8072,4.4149,0.071,5.167,5.028,4.7728,4.6351,4.487,4.2053,4.1658,4.0511
103,0.736489,3.8088,4.4022,0.0915,5.1103,4.9731,4.7204,4.584,4.4372,4.1581,4.1189,4.0054
104,0.739062,3.8103,4.3891,0.1122,5.053,4.9175,4.6672,4.5322,4.3865,4.1099,4.0711,3.9586
105,0.741656,3.8118,4.3756,0.1331,4.9954,4.8616,4.6135,4.4796,4.3352,4.0609,4.0224,3.9109
106,0.74428,3.8131,4.3615,0.1543,4.9373,4.8049,4.559,4.4264,4.2831,4.011,3.9728,3.8622
107,0.746948,3.8145,4.3468,0.1758,4.8785,4.7478,4.504,4.3725,4.2302,3.9604,3.9225,3.8128
108,0.749674,3.8158,4.3316,0.1976,4.8191,4.69,4.4482,4.318,4.1769,3.9092,3.8716,3.7626
109,0.752518,3.8169,4.3158,0.2198,4.7589,4.6312,4.3916,4.2625,4.1225,3.8568,3.8195,3.7114
110,0.755599,3.8181,4.2993,0.2426,4.6967,4.5706,4.3332,4.2053,4.0663,3.8027,3.7657,3.6582
111,0.758838,3.8192,4.2822,0.2661,4.6333,4.5088,4.2734,4.1467,4.0088,3.7473,3.7105,3.6038
112,0.759808,3.8195,4.2771,0.273,4.6144,4.4905,4.2557,4.1293,3.9918,3.7309,3.6941,3.5877
113,0.760787,3.8199,4.2721,0.28,4.5954,4.4719,4.2378,4.1118,3.9746,3.7143,3.6776,3.5714
114,0.761776,3.8202,4.267,0.2871,4.5764,4.4533,4.2199,4.0942,3.9574,3.6977,3.6612,3.5551
115,0.762772,3.8206,4.2619,0.2941,4.5572,4.4346,4.2019,4.0765,3.94,3.681,3.6446,3.5387
116,0.763773,3.8209,4.2567,0.3012,4.538,4.4158,4.1837,4.0587,3.9225,3.6641,3.6278,3.5221
117,0.764778,3.8212,4.2515,0.3084,4.5187,4.3971,4.1655,4.0408,3.905,3.6472,3.6108,3.5055
118,0.765783,3.8216,4.2463,0.3155,4.4994,4.3781,4.1472,4.0228,3.8874,3.6302,3.5939,3.4886
119,0.766788,3.8219,4.2409,0.3228,4.48,4.3591,4.1287,4.0048,3.8695,3.6129,3.5767,3.4716
120,0.767791,3.8222,4.2354,0.33,4.4605,4.34,4.1102,3.9865,3.8515,3.5956,3.5594,3.4545
121,0.768789,3.8225,4.2298,0.3373,4.4409,4.3207,4.0915,3.9682,3.8334,3.578,3.5418,3.4372
122,0.76978,3.8228,4.2242,0.3447,4.4211,4.3013,4.0726,3.9496,3.8151,3.5603,3.5242,3.4197
123,0.770766,3.823,4.2184,0.3521,4.4013,4.2819,4.0537,3.9309,3.7968,3.5424,3.5064,3.4021
124,0.771744,3.8233,4.2126,0.3596,4.3814,4.2624,4.0347,3.9121,3.7782,3.5244,3.4884,3.3844
125,0.772714,3.8235,4.2066,0.3671,4.3615,4.2428,4.0155,3.8933,3.7596,3.5062,3.4704,3.3664
126,0.773674,3.8238,4.2006,0.3746,4.3415,4.2231,3.9963,3.8743,3.7409,3.488,3.4522,3.3484
127,0.774625,3.824,4.1945,0.3821,4.3215,4.2034,3.9771,3.8552,3.7221,3.4697,3.4339,3.3302
128,0.775564,3.8243,4.1881,0.3897,4.3015,4.1837,3.9577,3.8362,3.7031,3.4511,3.4154,3.3118
129,0.776494,3.8244,4.1817,0.3973,4.2816,4.164,3.9384,3.817,3.6841,3.4324,3.3967,3.2932
130,0.77741,3.8245,4.175,0.4049,4.2616,4.1442,3.9189,3.7977,3.665,3.4136,3.378,3.2745
131,0.778314,3.8246,4.1682,0.4126,4.2417,4.1244,3.8994,3.7783,3.6458,3.3947,3.359,3.2556
132,0.779203,3.8247,4.1613,0.4203,4.2218,4.1046,3.8798,3.7589,3.6265,3.3756,3.3399,3.2365
133,0.780078,3.8247,4.1542,0.4281,4.2019,4.0849,3.8602,3.7394,3.607,3.3563,3.3206,3.2172
134,0.780938,3.8247,4.1468,0.4358,4.182,4.0652,3.8407,3.7198,3.5876,3.3369,3.3012,3.1978
135,0.781781,3.8246,4.1392,0.4437,4.1622,4.0454,3.821,3.7002,3.5679,3.3173,3.2816,3.1781
136,0.782609,3.8245,4.1316,0.4515,4.1424,4.0256,3.8012,3.6805,3.5482,3.2975,3.2618,3.1583
137,0.783419,3.8244,4.1237,0.4594,4.1227,4.0059,3.7815,3.6606,3.5283,3.2776,3.2419,3.1382
138,0.784211,3.8242,4.1155,0.4672,4.103,3.9862,3.7617,3.6408,3.5085,3.2575,3.2217,3.1179
139,0.784985,3.824,4.1071,0.4752,4.0835,3.9665,3.7418,3.6208,3.4884,3.2372,3.2014,3.0974
140,0.78574,3.8237,4.0984,0.4831,4.064,3.9469,3.7219,3.6008,3.4682,3.2167,3.1808,3.0766
141,0.786477,3.8234,4.0895,0.4911,4.0445,3.9272,3.7021,3.5807,3.4479,3.196,3.16,3.0556
142,0.787195,3.823,4.0803,0.4991,4.0252,3.9076,3.6821,3.5605,3.4275,3.1751,3.139,3.0343
143,0.787892,3.8225,4.0709,0.5072,4.006,3.8881,3.6621,3.5402,3.4069,3.1539,3.1177,3.0127
144,0.788569,3.822,4.0611,0.5152,3.9869,3.8686,3.6421,3.5199,3.3862,3.1325,3.0962,2.9908
145,0.789225,3.8215,4.051,0.5234,3.9681,3.8492,3.6221,3.4994,3.3653,3.1108,3.0743,2.9686
146,0.78986,3.8208,4.0406,0.5316,3.9494,3.83,3.6019,3.4787,3.3443,3.0888,3.0521,2.9459
147,0.790475,3.8201,4.0298,0.5397,3.9311,3.8109,3.5817,3.4578,3.3227,3.0661,3.0293,2.9226
148,0.791068,3.8193,4.0186,0.548,3.913,3.7919,3.5614,3.4368,3.3009,3.043,3.006,2.8987
149,0.79164,3.8184,4.007,0.5562,3.8952,3.7731,3.5411,3.4156,3.2789,3.0194,2.9823,2.8744
150,0.79219,3.8173,3.995,0.5645,3.8779,3.7544,3.5207,3.3942,3.2567,2.9956,2.9581,2.8496
151,0.792718,3.8162,3.9825,0.5729,3.8609,3.736,3.5004,3.3728,3.2343,2.9712,2.9335,2.8243
152,0.793225,3.815,3.9694,0.5811,3.8442,3.7178,3.4801,3.3513,3.2118,2.9467,2.9087,2.7985
153,0.79371,3.8136,3.9559,0.5895,3.8277,3.6998,3.4601,3.3301,3.1894,2.9222,2.8838,2.7728
