#NUM,BER OF AGE,S= 1,,,,,,,,,,
#---,----------,--------,--------,--------,--------,-------,,,,,,
#MIX,#NAME?,Z,Ze,ff,[Fe/H],[a/Fe],,,,,,
# 1.,9380  0.24,53 2.046,1E-04 1.,4.90E-01,-2.1,0.2,,,,,,
#---,----------,--------,--------,--------,--------,-------,,,,,,
#**P,HOTOMETRIC,SYSTEM*,*: HST A,CS-WFC (,PHOENIX),,,,,,,
#---,----------,--------,--------,--------,--------,-------,,,,,,
#AGE,=13.000 EE,PS=266,,,,,,,,,,
#EEP,M/Mo  L,ogTeff,LogG  L,ogL/Lo,F435W,F475W,F555W,F606W,F625W,F775W,F814W,F850L
60,0.555586,3.7007,4.7383,-0.7993,7.91,7.5812,7.1218,6.8748,6.638,6.1768,6.1083,5.9095
61,0.560402,3.7038,4.7332,-0.7782,7.8328,7.5114,7.0588,6.8155,6.5816,6.1262,6.0586,5.8625
62,0.565251,3.7069,4.7281,-0.757,7.7556,7.4415,6.9959,6.7564,6.5253,6.0755,6.0089,5.8157
63,0.57012,3.71,4.723,-0.7357,7.6786,7.3718,6.9331,6.6973,6.469,6.0248,5.9592,5.7688
64,0.575,3.713,4.7176,-0.7144,7.6025,7.3028,6.8709,6.6388,6.4132,5.9746,5.9098,5.7221
65,0.579858,3.7161,4.7122,-0.6932,7.5268,7.2342,6.8092,6.5806,6.3577,5.9246,5.8608,5.6757
66,0.584639,3.7191,4.7068,-0.6722,7.4532,7.1675,6.7491,6.5239,6.3035,5.8759,5.813,5.6306
67,0.589322,3.7221,4.7015,-0.6516,7.3807,7.1017,6.6899,6.4681,6.2504,5.828,5.766,5.5863
68,0.593865,3.7248,4.6959,-0.6316,7.3118,7.039,6.6332,6.4146,6.1993,5.7817,5.7206,5.5434
69,0.598227,3.7276,4.6907,-0.6121,7.2448,6.9781,6.5783,6.3627,6.1496,5.737,5.6766,5.5017
70,0.60237,3.7301,4.6853,-0.5935,7.1824,6.921,6.5266,6.3136,6.1027,5.6944,5.6348,5.4619
71,0.606304,3.7327,4.6804,-0.5756,7.1214,6.8654,6.4764,6.2661,6.0573,5.6534,5.5945,5.4236
72,0.610052,3.735,4.6752,-0.5585,7.0646,6.8133,6.429,6.2212,6.0142,5.6142,5.556,5.3869
73,0.613632,3.7374,4.6704,-0.5417,7.0088,6.7621,6.3827,6.1773,5.9722,5.5762,5.5186,5.3515
74,0.617064,3.7395,4.6653,-0.5256,6.9562,6.7137,6.3387,6.1354,5.9321,5.5396,5.4826,5.3173
75,0.620372,3.7416,4.6604,-0.5099,6.9047,6.6664,6.2956,6.0946,5.893,5.5041,5.4477,5.284
76,0.623579,3.7437,4.6556,-0.4944,6.8545,6.6201,6.2535,6.0546,5.8547,5.4693,5.4135,5.2515
77,0.626707,3.7457,4.6507,-0.4793,6.8057,6.5751,6.2125,6.0157,5.8174,5.4353,5.3801,5.2196
78,0.629775,3.7477,4.6458,-0.4644,6.7577,6.5307,6.172,5.9772,5.7806,5.4017,5.347,5.1881
79,0.632805,3.7497,4.6409,-0.4496,6.7108,6.4872,6.1322,5.9394,5.7442,5.3686,5.3144,5.1571
80,0.635806,3.7515,4.6359,-0.435,6.6639,6.4438,6.0926,5.9017,5.7082,5.3358,5.2822,5.1263
81,0.638808,3.7534,4.6308,-0.4204,6.6175,6.4008,6.0532,5.8643,5.6724,5.3032,5.2502,5.0958
82,0.643254,3.7562,4.6232,-0.3988,6.5493,6.3375,5.9953,5.8093,5.6197,5.2553,5.203,5.0509
83,0.647896,3.759,4.6152,-0.3764,6.4791,6.2721,5.9354,5.7523,5.5653,5.2058,5.1543,5.0043
84,0.652807,3.7618,4.6067,-0.353,6.4065,6.2044,5.8732,5.6931,5.5084,5.1538,5.1031,4.9554
85,0.658024,3.7649,4.5975,-0.3285,6.3314,6.134,5.8082,5.631,5.4488,5.0991,5.0492,4.9038
86,0.66346,3.7679,4.5878,-0.3031,6.2546,6.0619,5.7414,5.5671,5.3872,5.0424,4.9932,4.8501
87,0.669014,3.7709,4.5778,-0.2773,6.1772,5.989,5.6737,5.5021,5.3246,4.9846,4.9361,4.7953
88,0.674588,3.7739,4.5676,-0.2513,6.0996,5.9159,5.6057,5.4369,5.2617,4.9264,4.8787,4.7401
89,0.680088,3.7769,4.5571,-0.2256,6.0235,5.844,5.5386,5.3725,5.1997,4.8689,4.822,4.6856
90,0.685422,3.7797,4.5465,-0.2003,5.949,5.7734,5.4728,5.3094,5.1387,4.8125,4.7662,4.6319
91,0.69051,3.7825,4.536,-0.1756,5.8764,5.7048,5.4086,5.2477,5.0793,4.7574,4.7119,4.5795
92,0.695266,3.785,4.5256,-0.152,5.8076,5.6393,5.3474,5.1889,5.0224,4.7045,4.6596,4.5291
